transaction_id,transaction_amount,transaction_frequency,transaction_hour,account_age_months,location_change,average_transaction_amount,is_anomaly
TXN100001,4061.8309653506262,24,3,8,0,1817.1233495440063,1
TXN100002,82.55171854533441,5,11,69,0,90.08637294023828,0
TXN100003,177.1577078962943,4,12,107,0,181.69895932764743,0
TXN100004,190.949127007006,9,9,73,0,165.63093616823755,0
TXN100005,112.60623384692936,3,22,116,0,91.11702995439333,0
TXN100006,32.84398397549722,3,19,46,0,25.107699500866836,0
TXN100007,143.0192945685983,3,22,44,0,152.53683450783086,0
TXN100008,147.1024945025959,3,8,67,0,98.34889865583506,0
TXN100009,231.7680003698563,5,21,64,0,281.1374110934069,0
TXN100010,178.33816278481225,4,10,28,0,163.3968526941383,0
TXN100011,177.82384442149421,1,21,32,0,117.08331640799712,0
TXN100012,1200.0,21,1,2,1,205.22962682178684,1
TXN100013,158.28111067641356,6,16,39,0,208.7373327287724,0
TXN100014,6240.8789046806,29,0,7,0,3608.8063167214423,1
TXN100015,224.92278514529173,4,20,20,0,141.46518496396536,0
TXN100016,156.70322036772149,6,9,76,0,154.588276896239,0
TXN100017,72.9112982019133,4,21,13,1,81.00141912906363,0
TXN100018,149.52140134720284,6,14,76,0,152.57577052499641,0
TXN100019,46.46224826627054,1,7,76,0,52.71841934642482,0
TXN100020,152.21493749764693,9,21,68,0,128.7706498253308,0
TXN100021,174.9281170335718,4,9,86,0,130.3044406441025,0
TXN100022,108.54808662372673,5,21,91,0,103.72476433987177,0
TXN100023,137.4902415405171,8,15,22,0,176.0878222703905,0
TXN100024,119.29978223236873,7,16,75,0,134.14301540410727,0
TXN100025,117.3086916931558,4,19,26,0,120.41665192813765,0
TXN100026,42.13890797144933,4,16,108,0,46.335342067767264,0
TXN100027,62.02801525002035,4,7,64,1,59.630038623012716,0
TXN100028,43.39025754371471,3,12,95,0,42.9824225815448,0
TXN100029,274.78040362617514,4,22,45,0,137.3061267175151,0
TXN100030,49.028641085706944,4,14,29,0,40.61125125878547,0
TXN100031,84.7319993237274,6,16,114,0,77.05717302490342,0
TXN100032,64.71152469558061,4,7,61,0,72.97731709788002,0
TXN100033,314.9393380665665,5,11,29,1,305.9511756443361,0
TXN100034,102.36634613087338,6,12,25,1,118.71991824022243,0
TXN100035,433.0296054124349,4,20,15,0,427.872115378674,0
TXN100036,264.05464588608316,5,20,119,0,77.44344940227892,0
TXN100037,48.412051719057196,4,21,49,0,65.53663648294423,0
TXN100038,1633.6304876832,24,5,15,0,489.514766557105,1
TXN100039,138.1965789103472,1,10,72,0,112.82443647357437,0
TXN100040,270.6516425605763,3,22,66,1,208.4157842126402,0
TXN100041,75.41212256359107,7,13,21,0,80.22014815545171,0
TXN100042,59.57434844705146,9,17,54,0,64.81856615765066,0
TXN100043,160.57572963852772,6,13,40,0,171.91466653840604,0
TXN100044,116.32093467349715,2,9,108,0,100.02041054702613,0
TXN100045,50.61196581679901,4,12,95,0,51.177684355237375,0
TXN100046,182.25943077571674,6,9,45,0,212.1088215465937,0
TXN100047,169.32226309736393,2,17,70,0,190.91161986634913,0
TXN100048,103.28050385978246,7,13,100,0,108.20357598765128,0
TXN100049,79.7457653494819,8,10,81,0,82.14219156992317,0
TXN100050,134.30383816559166,5,11,16,0,162.52411953394434,0
TXN100051,141.13522637925456,5,12,115,0,205.4446150126954,0
TXN100052,101.3641719307779,3,9,76,0,98.31019417028739,0
TXN100053,1204.416056291527,27,3,2,0,660.0040192483164,1
TXN100054,123.9830597613162,8,17,91,1,145.50066686435392,0
TXN100055,309.37822442823415,3,19,50,0,218.40663577923968,0
TXN100056,88.5449519030732,7,16,107,0,78.35974327485161,0
TXN100057,186.57296702540495,2,10,12,0,169.3244295878539,0
TXN100058,131.6682846666671,4,8,105,0,118.84995365621401,0
TXN100059,1200.0,12,0,8,1,551.1068341290662,1
TXN100060,152.04827873541933,5,13,80,0,163.33311898660003,0
TXN100061,201.84633270522167,4,10,88,0,171.35402390013707,0
TXN100062,233.59315431119856,6,22,63,0,158.5353251208928,0
TXN100063,78.22953635570913,4,17,69,0,47.44907118201242,0
TXN100064,137.55555595806197,6,7,26,0,151.83979690023833,0
TXN100065,88.22253217371308,2,15,13,0,89.61340217310662,0
TXN100066,221.0585276183443,5,10,49,0,161.14282903480486,0
TXN100067,81.2680928578847,3,10,23,0,75.70680290397227,0
TXN100068,97.23528371070546,3,13,69,0,107.89388780802489,0
TXN100069,107.99658926249401,4,12,17,0,79.3597152090378,0
TXN100070,351.1527070233371,5,8,34,0,297.1466452923733,0
TXN100071,213.51375160034888,7,13,99,0,203.85980449387145,0
TXN100072,215.04537954130828,3,13,15,0,183.7399826532967,0
TXN100073,292.7056006917421,7,16,53,0,239.85161164366755,0
TXN100074,98.64079568819422,3,14,45,0,95.43836448545899,0
TXN100075,248.95090449812534,8,9,83,0,253.2202674510951,0
TXN100076,98.95444096908285,1,22,79,0,100.48483740739063,0
